2023-11-21 13:32:11,329 | INFO | query execution done
2023-11-21 13:32:11,381 | INFO | closed
2023-11-21 13:32:11,391 | INFO | No async queries seem to be running, deleting session
2023-11-21 13:33:00,967 | INFO | hellow world
2023-11-21 13:33:00,967 | INFO | Snowflake Connector for Python Version: 3.4.1, Python Version: 3.11.2, Platform: Windows-10-10.0.22621-SP0
2023-11-21 13:33:00,967 | INFO | This connection is in OCSP Fail Open Mode. TLS Certificates would be checked for validity and revocation status. Any other Certificate Revocation related exceptions or OCSP Responder failures would be disregarded in favor of connectivity.
2023-11-21 13:33:02,284 | INFO | creating a stage in snowflake
2023-11-21 13:33:02,284 | INFO | query exicution start
2023-11-21 13:33:02,284 | INFO | query: [CREATE OR REPLACE STAGE MOCK_01.mock_01_schema.MOCK_01_STAGE FILE_FORMAT = (type...]
2023-11-21 13:33:02,693 | INFO | query execution done
2023-11-21 13:33:02,693 | INFO | Number of results in first chunk: 1
2023-11-21 13:33:02,693 | INFO | making keys lower
2023-11-21 13:33:02,693 | INFO | putting data into stage
2023-11-21 13:33:02,693 | INFO | query exicution start
2023-11-21 13:33:02,693 | INFO | query: [put file://../files/SalesData.tsv @MOCK_01.mock_01_schema.MOCK_01_STAGE]
2023-11-21 13:33:03,947 | INFO | query execution done
2023-11-21 13:33:04,818 | INFO | making keys lower
2023-11-21 13:33:04,818 | INFO | creating a table in snowflake
2023-11-21 13:33:04,818 | INFO | query exicution start
2023-11-21 13:33:04,818 | INFO | query: [CREATE OR REPLACE table MOCK_01.mock_01_schema.SALES_TSV(ORDER_NO NUMBER, order_...]
2023-11-21 13:33:04,930 | INFO | query execution done
2023-11-21 13:33:04,999 | INFO | closed
2023-11-21 13:33:04,999 | INFO | No async queries seem to be running, deleting session
2023-11-21 13:33:54,003 | INFO | hellow world
2023-11-21 13:33:54,011 | INFO | Snowflake Connector for Python Version: 3.4.1, Python Version: 3.11.2, Platform: Windows-10-10.0.22621-SP0
2023-11-21 13:33:54,011 | INFO | This connection is in OCSP Fail Open Mode. TLS Certificates would be checked for validity and revocation status. Any other Certificate Revocation related exceptions or OCSP Responder failures would be disregarded in favor of connectivity.
2023-11-21 13:33:54,867 | INFO | creating a stage in snowflake
2023-11-21 13:33:54,867 | INFO | query exicution start
2023-11-21 13:33:54,867 | INFO | query: [CREATE OR REPLACE STAGE MOCK_01.mock_01_schema.MOCK_01_STAGE FILE_FORMAT = (type...]
2023-11-21 13:33:55,059 | INFO | query execution done
2023-11-21 13:33:55,059 | INFO | Number of results in first chunk: 1
2023-11-21 13:33:55,059 | INFO | making keys lower
2023-11-21 13:33:55,059 | INFO | putting data into stage
2023-11-21 13:33:55,059 | INFO | query exicution start
2023-11-21 13:33:55,059 | INFO | query: [put file://../files/SalesData.tsv @MOCK_01.mock_01_schema.MOCK_01_STAGE]
2023-11-21 13:33:56,201 | INFO | query execution done
2023-11-21 13:33:57,075 | INFO | making keys lower
2023-11-21 13:33:57,075 | INFO | creating a table in snowflake
2023-11-21 13:33:57,075 | INFO | query exicution start
2023-11-21 13:33:57,075 | INFO | query: [CREATE OR REPLACE table MOCK_01.mock_01_schema.SALES_TSV(ORDER_NO NUMBER, order_...]
2023-11-21 13:33:57,372 | INFO | query execution done
2023-11-21 13:33:57,372 | INFO | Number of results in first chunk: 1
2023-11-21 13:33:57,372 | INFO | making keys lower
2023-11-21 13:33:57,372 | INFO | copy data into table
2023-11-21 13:33:57,372 | INFO | query exicution start
2023-11-21 13:33:57,372 | INFO | query: [copy into MOCK_01.mock_01_schema.SALES_TSV from @MOCK_01.mock_01_schema.MOCK_01_...]
2023-11-21 13:33:57,481 | INFO | query execution done
2023-11-21 13:33:57,545 | INFO | closed
2023-11-21 13:33:57,545 | INFO | No async queries seem to be running, deleting session
2023-11-21 13:34:16,008 | INFO | hellow world
2023-11-21 13:34:16,008 | INFO | Snowflake Connector for Python Version: 3.4.1, Python Version: 3.11.2, Platform: Windows-10-10.0.22621-SP0
2023-11-21 13:34:16,008 | INFO | This connection is in OCSP Fail Open Mode. TLS Certificates would be checked for validity and revocation status. Any other Certificate Revocation related exceptions or OCSP Responder failures would be disregarded in favor of connectivity.
2023-11-21 13:34:16,828 | INFO | creating a stage in snowflake
2023-11-21 13:34:16,839 | INFO | query exicution start
2023-11-21 13:34:16,839 | INFO | query: [CREATE OR REPLACE STAGE MOCK_01.mock_01_schema.MOCK_01_STAGE FILE_FORMAT = (type...]
2023-11-21 13:34:17,005 | INFO | query execution done
2023-11-21 13:34:17,005 | INFO | Number of results in first chunk: 1
2023-11-21 13:34:17,005 | INFO | making keys lower
2023-11-21 13:34:17,005 | INFO | putting data into stage
2023-11-21 13:34:17,005 | INFO | query exicution start
2023-11-21 13:34:17,005 | INFO | query: [put file://../files/SalesData.tsv @MOCK_01.mock_01_schema.MOCK_01_STAGE]
2023-11-21 13:34:18,097 | INFO | query execution done
2023-11-21 13:34:18,953 | INFO | making keys lower
2023-11-21 13:34:18,955 | INFO | creating a table in snowflake
2023-11-21 13:34:18,955 | INFO | query exicution start
2023-11-21 13:34:18,956 | INFO | query: [CREATE OR REPLACE table MOCK_01.mock_01_schema.SALES_TSV(ORDER_NO NUMBER, order_...]
2023-11-21 13:34:19,178 | INFO | query execution done
2023-11-21 13:34:19,179 | INFO | Number of results in first chunk: 1
2023-11-21 13:34:19,180 | INFO | making keys lower
2023-11-21 13:34:19,181 | INFO | copy data into table
2023-11-21 13:34:19,182 | INFO | query exicution start
2023-11-21 13:34:19,182 | INFO | query: [copy into MOCK_01.mock_01_schema.SALES_TSV from @MOCK_01.mock_01_schema.MOCK_01_...]
2023-11-21 13:34:19,303 | INFO | query execution done
2023-11-21 13:34:19,364 | INFO | closed
2023-11-21 13:34:19,364 | INFO | No async queries seem to be running, deleting session
2023-11-21 13:34:33,656 | INFO | hellow world
2023-11-21 13:34:33,656 | INFO | Snowflake Connector for Python Version: 3.4.1, Python Version: 3.11.2, Platform: Windows-10-10.0.22621-SP0
2023-11-21 13:34:33,656 | INFO | This connection is in OCSP Fail Open Mode. TLS Certificates would be checked for validity and revocation status. Any other Certificate Revocation related exceptions or OCSP Responder failures would be disregarded in favor of connectivity.
2023-11-21 13:34:34,394 | INFO | creating a stage in snowflake
2023-11-21 13:34:34,409 | INFO | query exicution start
2023-11-21 13:34:34,409 | INFO | query: [CREATE OR REPLACE STAGE MOCK_01.mock_01_schema.MOCK_01_STAGE FILE_FORMAT = (type...]
2023-11-21 13:34:34,823 | INFO | query execution done
2023-11-21 13:34:34,823 | INFO | Number of results in first chunk: 1
2023-11-21 13:34:34,825 | INFO | making keys lower
2023-11-21 13:34:34,825 | INFO | putting data into stage
2023-11-21 13:34:34,825 | INFO | query exicution start
2023-11-21 13:34:34,825 | INFO | query: [put file://../files/SalesData.tsv @MOCK_01.mock_01_schema.MOCK_01_STAGE]
2023-11-21 13:34:35,915 | INFO | query execution done
2023-11-21 13:34:36,709 | INFO | making keys lower
2023-11-21 13:34:36,709 | INFO | creating a table in snowflake
2023-11-21 13:34:36,709 | INFO | query exicution start
2023-11-21 13:34:36,709 | INFO | query: [CREATE OR REPLACE table MOCK_01.mock_01_schema.SALES_TSV(ORDER_NO NUMBER, order_...]
2023-11-21 13:34:36,955 | INFO | query execution done
